time,accX,accY,accZ,gyrX,gyrY,gyrZ,pres,alt,temp
13.375,-0.064,0.046,0.092,0.021,-0.011,0.018,1017.440,0.063,25.407
13.676,-0.067,0.043,0.099,0.021,-0.011,0.019,1017.420,0.000,25.414
13.968,-0.068,0.041,0.100,0.021,-0.010,0.019,1017.410,0.074,25.422
14.272,-0.068,0.044,0.106,0.021,-0.010,0.019,1017.430,-0.127,25.420
14.572,-0.070,0.046,0.107,0.021,-0.010,0.019,1017.430,-0.296,25.412
14.872,-0.069,0.048,0.106,0.021,-0.010,0.020,1017.450,-0.042,25.412
15.172,-0.071,0.048,0.104,0.021,-0.009,0.020,1017.430,-0.042,25.399
15.471,-0.072,0.052,0.107,0.021,-0.010,0.020,1017.410,0.159,25.386
15.771,-0.072,0.056,0.108,0.021,-0.010,0.020,1017.440,0.085,25.386
16.077,-0.073,0.057,0.114,0.022,-0.010,0.020,1017.430,-0.106,25.386
16.375,-0.076,0.058,0.118,0.022,-0.009,0.020,1017.430,0.116,25.389
16.881,-0.075,0.060,0.119,0.021,-0.009,0.020,1017.430,-0.211,25.335
17.181,-0.076,0.059,0.119,0.021,-0.009,0.020,1017.420,0.032,25.376
17.481,-0.080,0.059,0.117,0.021,-0.009,0.020,1017.440,0.000,25.391
17.775,-0.082,0.059,0.117,0.021,-0.009,0.019,1017.450,0.063,25.394
18.080,-0.081,0.061,0.115,0.021,-0.008,0.019,1017.440,0.032,25.399
18.380,-0.083,0.062,0.112,0.021,-0.008,0.019,1017.440,0.000,25.394
18.674,-0.084,0.062,0.110,0.020,-0.008,0.019,1017.420,-0.254,25.394
18.984,-0.083,0.063,0.115,0.021,-0.008,0.019,1017.440,-0.233,25.396
19.283,-0.084,0.062,0.120,0.020,-0.008,0.019,1017.410,0.032,25.399
19.582,-0.085,0.064,0.123,0.020,-0.008,0.019,1017.440,-0.127,25.404
20.047,-0.086,0.067,0.130,0.020,-0.008,0.019,1017.430,-0.042,25.350
20.350,-0.087,0.066,0.132,0.020,-0.008,0.020,1017.470,-0.211,25.381
20.651,-0.088,0.070,0.134,0.020,-0.008,0.020,1017.470,-0.338,25.394
20.949,-0.088,0.069,0.142,0.020,-0.009,0.020,1017.450,-0.169,25.389
21.261,-0.088,0.072,0.146,0.020,-0.009,0.020,1017.440,-0.190,25.386
21.560,-0.090,0.072,0.148,0.019,-0.008,0.021,1017.440,-0.063,25.391
21.862,-0.093,0.072,0.151,0.019,-0.008,0.021,1017.430,-0.359,25.381
22.165,-0.095,0.073,0.158,0.019,-0.008,0.021,1017.440,-0.380,25.384
22.465,-0.095,0.074,0.164,0.019,-0.008,0.021,1017.470,-0.296,25.389
22.764,-0.098,0.077,0.167,0.018,-0.007,0.021,1017.450,-0.106,25.386
23.266,-0.094,0.080,0.181,0.018,-0.007,0.021,1017.440,-0.254,25.327
23.568,-0.096,0.080,0.183,0.018,-0.007,0.021,1017.440,-0.063,25.368
23.871,-0.097,0.081,0.185,0.017,-0.007,0.021,1017.460,-0.275,25.378
24.173,-0.096,0.082,0.191,0.017,-0.007,0.020,1017.470,-0.021,25.378
24.473,-0.097,0.083,0.192,0.017,-0.007,0.020,1017.470,-0.042,25.386
24.775,-0.099,0.084,0.193,0.017,-0.007,0.020,1017.440,-0.148,25.386
25.080,-0.101,0.082,0.197,0.017,-0.007,0.020,1017.440,-0.042,25.389
25.379,-0.103,0.085,0.202,0.017,-0.007,0.020,1017.440,-0.085,25.381
25.681,-0.102,0.087,0.205,0.017,-0.008,0.020,1017.410,0.106,25.378
25.980,-0.103,0.089,0.208,0.018,-0.008,0.021,1017.450,-0.444,25.381
26.481,-0.108,0.086,0.214,0.017,-0.008,0.020,1017.420,-0.042,25.307
26.788,-0.105,0.086,0.223,0.017,-0.008,0.020,1017.430,0.021,25.355
27.088,-0.106,0.086,0.230,0.017,-0.008,0.020,1017.410,-0.254,25.361
27.389,-0.104,0.087,0.237,0.017,-0.008,0.019,1017.440,0.106,25.371
27.689,-0.106,0.089,0.240,0.017,-0.008,0.019,1017.450,-0.233,25.368
27.989,-0.105,0.092,0.245,0.016,-0.008,0.019,1017.440,-0.127,25.373
28.290,-0.108,0.093,0.248,0.016,-0.008,0.018,1017.440,-0.106,25.368
28.588,-0.110,0.096,0.252,0.016,-0.008,0.018,1017.440,-0.338,25.378
28.889,-0.108,0.096,0.259,0.016,-0.008,0.018,1017.460,-0.254,25.376
29.189,-0.111,0.094,0.270,0.016,-0.007,0.019,1017.440,0.085,25.368
29.690,-0.111,0.097,0.278,0.015,-0.007,0.019,1017.450,-0.085,25.319
29.991,-0.111,0.099,0.285,0.015,-0.007,0.018,1017.450,-0.063,25.348
30.293,-0.115,0.099,0.289,0.015,-0.007,0.019,1017.440,-0.063,25.353
30.594,-0.114,0.100,0.293,0.015,-0.007,0.019,1017.450,0.021,25.361
30.892,-0.116,0.100,0.297,0.015,-0.006,0.018,1017.460,-0.211,25.355
31.190,-0.115,0.106,0.301,0.014,-0.006,0.018,1017.460,-0.063,25.355
31.489,-0.115,0.105,0.309,0.014,-0.006,0.018,1017.440,-0.169,25.350
31.789,-0.115,0.102,0.314,0.014,-0.006,0.018,1017.440,-0.148,25.353
32.093,-0.111,0.102,0.323,0.014,-0.006,0.019,1017.440,0.000,25.348
32.385,-0.111,0.105,0.327,0.014,-0.007,0.019,1017.440,-0.254,25.358
32.891,-0.112,0.107,0.336,0.014,-0.007,0.019,1017.460,-0.063,25.299
33.191,-0.114,0.106,0.340,0.014,-0.006,0.019,1017.460,-0.380,25.330
33.489,-0.114,0.109,0.344,0.013,-0.006,0.019,1017.450,-0.233,25.345
33.787,-0.116,0.111,0.349,0.013,-0.005,0.019,1017.470,-0.338,25.345
34.084,-0.117,0.112,0.351,0.013,-0.005,0.018,1017.430,-0.444,25.345
34.383,-0.119,0.114,0.355,0.013,-0.005,0.018,1017.450,-0.380,25.345
34.681,-0.119,0.117,0.358,0.013,-0.005,0.019,1017.430,-0.127,25.350
34.978,-0.121,0.121,0.361,0.014,-0.005,0.019,1017.440,-0.254,25.348
35.278,-0.124,0.118,0.371,0.014,-0.005,0.019,1017.440,-0.296,25.343
35.581,-0.122,0.118,0.374,0.014,-0.006,0.018,1017.440,-0.063,25.327
36.052,-0.120,0.123,0.381,0.014,-0.006,0.019,1017.470,-0.402,25.276
36.352,-0.120,0.126,0.386,0.014,-0.006,0.019,1017.450,-0.317,25.314
36.651,-0.121,0.126,0.392,0.014,-0.005,0.019,1017.450,-0.254,25.335
36.949,-0.118,0.129,0.401,0.014,-0.005,0.019,1017.470,-0.359,25.335
37.245,-0.120,0.126,0.409,0.014,-0.005,0.019,1017.460,-0.211,25.340
37.538,-0.123,0.126,0.415,0.014,-0.005,0.020,1017.460,-0.275,25.343
37.836,-0.123,0.129,0.420,0.015,-0.005,0.020,1017.460,-0.296,25.350
38.135,-0.126,0.129,0.421,0.015,-0.005,0.021,1017.480,-0.296,25.343
38.435,-0.124,0.128,0.428,0.015,-0.005,0.021,1017.470,-0.296,25.340
38.732,-0.126,0.129,0.432,0.016,-0.005,0.021,1017.430,-0.127,25.340
39.238,-0.128,0.129,0.434,0.016,-0.005,0.021,1017.460,-0.127,25.278
39.538,-0.127,0.131,0.438,0.016,-0.005,0.021,1017.430,-0.254,25.312
39.836,-0.130,0.131,0.440,0.016,-0.005,0.021,1017.460,-0.211,25.325
40.135,-0.130,0.134,0.444,0.016,-0.004,0.021,1017.450,-0.190,25.335
40.433,-0.131,0.135,0.450,0.016,-0.004,0.021,1017.440,-0.211,25.335
40.731,-0.130,0.133,0.455,0.017,-0.005,0.021,1017.480,-0.211,25.332
